00:00:00.000.002.500 M >System.Windows.MenuItem.SetText(const String<char>&, MenuControl*)
00:00:00.000.674.700 M         <System.Windows.Control.Location()
00:00:00.000.674.900 M         >System.Windows.MenuBar.DrawMenuItems(PaintEventArgs&, bool, const Point&)
00:00:00.000.675.100 M          >System.Windows.MenuControl.DefaultPadding() const
00:00:00.000.676.800 M           >System.Windows.Padding.Padding(int, int, int, int)
00:00:00.000.676.900 M           <System.Windows.Padding.Padding(int, int, int, int)
00:00:00.000.677.200 M          <System.Windows.MenuControl.DefaultPadding() const
00:00:00.000.677.300 M          >System.Windows.Control.GetSize() const
00:00:00.000.677.300 M          <System.Windows.Control.GetSize() const
00:00:00.000.677.500 M          >System.Windows.Container.FirstChild() const
00:00:00.000.677.500 M          <System.Windows.Container.FirstChild() const
00:00:00.000.677.900 M          >System.Windows.MenuControl.TextBrush() const
00:00:00.000.678.000 M          <System.Windows.MenuControl.TextBrush() const
00:00:00.000.678.000 M          >System.Windows.MenuControl.DisabledTextBrush() const
00:00:00.000.678.100 M          <System.Windows.MenuControl.DisabledTextBrush() const
00:00:00.000.678.100 M          >System.Windows.MenuControl.BackgroundBrush() const
00:00:00.000.678.200 M          <System.Windows.MenuControl.BackgroundBrush() const
00:00:00.000.678.200 M          >System.Windows.MenuControl.MouseOverBrush() const
00:00:00.000.678.300 M          <System.Windows.MenuControl.MouseOverBrush() const
00:00:00.000.678.300 M          >System.Windows.MenuControl.MenuOpenBrush() const
00:00:00.000.678.400 M          <System.Windows.MenuControl.MenuOpenBrush() const
00:00:00.000.678.400 M          >System.Windows.MenuControl.ShadowBrush() const
00:00:00.000.678.500 M          <System.Windows.MenuControl.ShadowBrush() const
00:00:00.000.678.500 M          >System.Windows.MenuControl.BlackBrush() const
00:00:00.000.678.600 M          <System.Windows.MenuControl.BlackBrush() const
00:00:00.000.678.600 M          >System.Windows.MenuControl.BlackPen() const
00:00:00.000.678.700 M          <System.Windows.MenuControl.BlackPen() const
00:00:00.000.678.700 M          >System.Windows.MenuControl.DarkPen() const
00:00:00.000.678.800 M          <System.Windows.MenuControl.DarkPen() const
00:00:00.000.678.800 M          >System.Windows.MenuControl.GetFont() const
00:00:00.000.678.900 M          <System.Windows.MenuControl.GetFont() const
00:00:00.000.678.900 M          >System.Windows.MenuControl.Format() const
00:00:00.000.679.000 M          <System.Windows.MenuControl.Format() const
00:00:00.000.679.000 M          >System.Windows.MenuControl.MenuOpenColor() const
00:00:00.000.679.000 M          <System.Windows.MenuControl.MenuOpenColor() const
00:00:00.000.679.400 M          >System.Windows.MenuItem.Draw(Graphics&, const Padding&, const Brush&, const Brush&, const Brush&, const Brush&, const Brush&, const Brush&, const Brush&, const Pen&, const Pen&, const Font&, const StringFormat&, const Color&, MenuControl*, bool, const Point&)
00:00:00.000.679.700 M           >System.Windows.MenuItem.DrawClosed(Graphics&, const Padding&, const Brush&, const Brush&, const Brush&, const Brush&, const Brush&, const Brush&, const Pen&, const Font&, const StringFormat&, const Color&, MenuControl*, bool, const Point&)
00:00:00.000.679.800 M            >System.Windows.MenuItemBase.Location() const
00:00:00.000.679.900 M            <System.Windows.MenuItemBase.Location() const
00:00:00.000.680.000 M            >System.Windows.MenuItemBase.GetSize() const
00:00:00.000.680.100 M            <System.Windows.MenuItemBase.GetSize() const
00:00:00.000.680.200 M            >System.Windows.Rect.Rect(const Point&, const Size&)
00:00:00.000.680.300 M            <System.Windows.Rect.Rect(const Point&, const Size&)
00:00:00.000.680.500 M            >System.Windows.MenuBar.GetSelectedMenuItem() const
00:00:00.000.680.600 M            <System.Windows.MenuBar.GetSelectedMenuItem() const
00:00:00.000.680.600 M            >System.Windows.MenuItem.Selected() const
00:00:00.000.680.700 M            <System.Windows.MenuItem.Selected() const
00:00:00.000.680.800 M            >System.Windows.MenuItemBase.Level() const
00:00:00.000.680.900 M             >System.Windows.MenuItemBase.GetParentMenuItem() const
00:00:00.000.681.100 M              >System.Windows.Component.GetContainer() const
00:00:00.000.681.100 M              <System.Windows.Component.GetContainer() const
00:00:00.000.681.200 M              >System.Windows.Container.Parent() const
00:00:00.000.681.200 M              <System.Windows.Container.Parent() const
00:00:00.000.681.500 M             <System.Windows.MenuItemBase.GetParentMenuItem() const
00:00:00.000.681.600 M            <System.Windows.MenuItemBase.Level() const
00:00:00.000.681.600 M            >System.Windows.MenuItem.Selected() const
00:00:00.000.681.700 M            <System.Windows.MenuItem.Selected() const
00:00:00.000.681.800 M            >System.Windows.Graphics.FillRectangleChecked(const Brush&, const Rect&)
00:00:00.000.681.900 M             >System.Windows.Graphics.FillRectangle(const Brush&, const Rect&)
00:00:00.000.682.200 M              >System.Windows.SolidBrush.NativeBrush() const
00:00:00.000.682.200 M              <System.Windows.SolidBrush.NativeBrush() const
00:00:00.000.699.700 M             <System.Windows.Graphics.FillRectangle(const Brush&, const Rect&)
00:00:00.000.699.800 M            <System.Windows.Graphics.FillRectangleChecked(const Brush&, const Rect&)
00:00:00.000.700.000 M            >System.Windows.StringFormat.StringFormat(const StringFormat&)
00:00:00.000.702.100 M            <System.Windows.StringFormat.StringFormat(const StringFormat&)
00:00:00.000.702.300 M            >System.Windows.StringFormat.SetAlignment(System.Windows.StringAlignment)
00:00:00.000.702.600 M            <System.Windows.StringFormat.SetAlignment(System.Windows.StringAlignment)
00:00:00.000.702.700 M            >System.Windows.PointF.PointF(float, float)
00:00:00.000.702.700 M            <System.Windows.PointF.PointF(float, float)
00:00:00.000.703.000 M            >System.Windows.SizeF.SizeF(float, float)
00:00:00.000.703.000 M            <System.Windows.SizeF.SizeF(float, float)
00:00:00.000.703.500 M            >System.Windows.RectF.RectF(const PointF&, const SizeF&)
00:00:00.000.703.500 M            <System.Windows.RectF.RectF(const PointF&, const SizeF&)
00:00:00.000.703.600 M            >System.Windows.MenuItem.IsEnabled() const
00:00:00.000.704.500 M            <System.Windows.MenuItem.IsEnabled() const
00:00:00.000.704.700 M            >System.Windows.Graphics.DrawStringChecked(const String<char>&, const Font&, const RectF&, const StringFormat&, const Brush&)
00:00:00.000.705.100 M             >System.Windows.Graphics.DrawString(const String<char>&, const Font&, const RectF&, const StringFormat&, const Brush&)
00:00:00.000.705.400 M              >System.Windows.Font.NativeFont() const
00:00:00.000.705.500 M              <System.Windows.Font.NativeFont() const
00:00:00.000.705.500 M              >System.Windows.StringFormat.NativeFormat() const
00:00:00.000.705.600 M              <System.Windows.StringFormat.NativeFormat() const
00:00:00.000.705.600 M              >System.Windows.SolidBrush.NativeBrush() const
00:00:00.000.705.700 M              <System.Windows.SolidBrush.NativeBrush() const
00:00:00.002.827.200 M             <System.Windows.Graphics.DrawString(const String<char>&, const Font&, const RectF&, const StringFormat&, const Brush&)
00:00:00.002.827.600 M            <System.Windows.Graphics.DrawStringChecked(const String<char>&, const Font&, const RectF&, const StringFormat&, const Brush&)
00:00:00.002.827.800 M            >System.Windows.StringFormat.~StringFormat()
00:00:00.002.828.500 M            <System.Windows.StringFormat.~StringFormat()
