00:00:00.000.001.900 M >System.Windows.MenuItem.SetText(const String<char>&, MenuControl*)
00:00:00.000.200.900 M           >System.Windows.Padding.Padding(int, int, int, int)
00:00:00.000.201.000 M           <System.Windows.Padding.Padding(int, int, int, int)
00:00:00.000.201.200 M          <System.Windows.MenuControl.DefaultPadding() const
00:00:00.000.201.200 M          >System.Windows.Control.GetSize() const
00:00:00.000.201.300 M          <System.Windows.Control.GetSize() const
00:00:00.000.201.400 M          >System.Windows.Container.FirstChild() const
00:00:00.000.201.400 M          <System.Windows.Container.FirstChild() const
00:00:00.000.201.700 M          >System.Windows.MenuControl.TextBrush() const
00:00:00.000.201.800 M          <System.Windows.MenuControl.TextBrush() const
00:00:00.000.201.800 M          >System.Windows.MenuControl.DisabledTextBrush() const
00:00:00.000.201.900 M          <System.Windows.MenuControl.DisabledTextBrush() const
00:00:00.000.201.900 M          >System.Windows.MenuControl.BackgroundBrush() const
00:00:00.000.202.000 M          <System.Windows.MenuControl.BackgroundBrush() const
00:00:00.000.202.000 M          >System.Windows.MenuControl.MouseOverBrush() const
00:00:00.000.202.100 M          <System.Windows.MenuControl.MouseOverBrush() const
00:00:00.000.202.100 M          >System.Windows.MenuControl.MenuOpenBrush() const
00:00:00.000.202.200 M          <System.Windows.MenuControl.MenuOpenBrush() const
00:00:00.000.202.200 M          >System.Windows.MenuControl.ShadowBrush() const
00:00:00.000.202.300 M          <System.Windows.MenuControl.ShadowBrush() const
00:00:00.000.202.300 M          >System.Windows.MenuControl.BlackBrush() const
00:00:00.000.202.400 M          <System.Windows.MenuControl.BlackBrush() const
00:00:00.000.202.400 M          >System.Windows.MenuControl.BlackPen() const
00:00:00.000.202.500 M          <System.Windows.MenuControl.BlackPen() const
00:00:00.000.202.500 M          >System.Windows.MenuControl.DarkPen() const
00:00:00.000.202.600 M          <System.Windows.MenuControl.DarkPen() const
00:00:00.000.202.600 M          >System.Windows.MenuControl.GetFont() const
00:00:00.000.202.700 M          <System.Windows.MenuControl.GetFont() const
00:00:00.000.202.700 M          >System.Windows.MenuControl.Format() const
00:00:00.000.202.800 M          <System.Windows.MenuControl.Format() const
00:00:00.000.202.800 M          >System.Windows.MenuControl.MenuOpenColor() const
00:00:00.000.202.900 M          <System.Windows.MenuControl.MenuOpenColor() const
00:00:00.000.203.000 M          >System.Windows.MenuItem.Draw(Graphics&, const Padding&, const Brush&, const Brush&, const Brush&, const Brush&, const Brush&, const Brush&, const Brush&, const Pen&, const Pen&, const Font&, const StringFormat&, const Color&, MenuControl*, bool, const Point&)
00:00:00.000.203.600 M           >System.Windows.MenuItem.DrawClosed(Graphics&, const Padding&, const Brush&, const Brush&, const Brush&, const Brush&, const Brush&, const Brush&, const Pen&, const Font&, const StringFormat&, const Color&, MenuControl*, bool, const Point&)
00:00:00.000.203.700 M            >System.Windows.MenuItemBase.Location() const
00:00:00.000.203.800 M            <System.Windows.MenuItemBase.Location() const
00:00:00.000.203.800 M            >System.Windows.MenuItemBase.GetSize() const
00:00:00.000.203.900 M            <System.Windows.MenuItemBase.GetSize() const
00:00:00.000.204.000 M            >System.Windows.Rect.Rect(const Point&, const Size&)
00:00:00.000.204.100 M            <System.Windows.Rect.Rect(const Point&, const Size&)
00:00:00.000.204.100 M            >System.Windows.MenuBar.GetSelectedMenuItem() const
00:00:00.000.204.200 M            <System.Windows.MenuBar.GetSelectedMenuItem() const
00:00:00.000.204.200 M            >System.Windows.MenuItem.Selected() const
00:00:00.000.204.300 M            <System.Windows.MenuItem.Selected() const
00:00:00.000.204.500 M            >System.Windows.MenuItemBase.Level() const
00:00:00.000.204.600 M             >System.Windows.MenuItemBase.GetParentMenuItem() const
00:00:00.000.204.600 M              >System.Windows.Component.GetContainer() const
00:00:00.000.204.700 M              <System.Windows.Component.GetContainer() const
00:00:00.000.204.700 M              >System.Windows.Container.Parent() const
00:00:00.000.204.800 M              <System.Windows.Container.Parent() const
00:00:00.000.205.000 M             <System.Windows.MenuItemBase.GetParentMenuItem() const
00:00:00.000.205.000 M            <System.Windows.MenuItemBase.Level() const
00:00:00.000.205.100 M            >System.Windows.MenuItem.Selected() const
00:00:00.000.205.100 M            <System.Windows.MenuItem.Selected() const
00:00:00.000.205.300 M            >System.Windows.Graphics.FillRectangleChecked(const Brush&, const Rect&)
00:00:00.000.205.400 M             >System.Windows.Graphics.FillRectangle(const Brush&, const Rect&)
00:00:00.000.205.800 M              >System.Windows.SolidBrush.NativeBrush() const
00:00:00.000.205.800 M              <System.Windows.SolidBrush.NativeBrush() const
